"Folder","File","RelativePath","SizeKB","Width","Height","MegaPixels","Ratio","Orientation","Hash","LastWrite"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.13 PM.jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.13 PM.jpeg","1556.2","4032","3024","12.19","1.333","landscape","E76173503CDD8A4575B3B55476B66A7E18B19A5AF6385DBF96B86A9BAFA1E2FF","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (1).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (1).jpeg","1912.7","4032","3024","12.19","1.333","landscape","22D1661A82CC579F6198B6A097858E45495ED18BE7ED253054F0714B3013E090","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (2).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (2).jpeg","1487.5","4032","3024","12.19","1.333","landscape","2E494D4AF92C6C62EDB0E9099306297D0407EAC09ACAC38D194CC800D645AC51","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (3).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (3).jpeg","786.6","3024","4032","12.19","0.75","portrait","A22A8FA775D7F7C5F3CB47A1ECC0D365482C4F76E245D586936171FD365757D8","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (4).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (4).jpeg","731.8","3024","4032","12.19","0.75","portrait","E102A012707E9589E5AC98D13E03DC6ACECD9A1D2B9DEE0C1952CAAFB37B8AD6","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (5).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (5).jpeg","867.1","3024","4032","12.19","0.75","portrait","0414AE55DCF9EAA4A134FF192958BEAFBE3BD4AF9A6ED608DB488E6A2CC96FC3","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (6).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (6).jpeg","727.6","3024","4032","12.19","0.75","portrait","3CDF667DC94A170CC349987DF465428B033A8685FA6379B830843CCBDC934177","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM (7).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM (7).jpeg","746.4","3024","4032","12.19","0.75","portrait","76482150154AE778238A87D2D54D92991D1872A63CBCDE18460572C3611E106A","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.14 PM.jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.14 PM.jpeg","822.2","3024","4032","12.19","0.75","portrait","0DF6CDA2CFD0D9A0BB33FAFC127F9D554D639BB8FE8153E3454967A23C94165A","21/3/2026 14:37:20"
"Actividades","WhatsApp Image 2026-03-21 at 2.35.15 PM (1).jpeg","public\images\Actividades\WhatsApp Image 2026-03-21 at 2.35.15 PM (1).jpeg","922.1","3024","4032","12.19","0.75","portrait","2E97C305C9E5E55406C47A2295015EFF304AC9D4FAEA29E9CBEEA269C3C56F8E","21/3/2026 14:37:20"
